Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

Conv1, 224, 224, 7, 7, 3, 64, 2,
CB2a_1, 56, 56, 1, 1, 64, 64, 1,
CB2a_2, 56, 56, 3, 3, 64, 64, 1,
CB2a_3, 56, 56, 1, 1, 64, 256, 1,
CB2s, 56, 56, 1, 1, 64, 256, 1,
IB2b_1, 56, 56, 1, 1, 256, 64, 1,
IB2b_2, 56, 56, 3, 3, 64, 64, 1,
IB2b_3, 56, 56, 1, 1, 64, 256, 1,
IB2c_1, 56, 56, 1, 1, 256, 64, 1,
IB2c_2, 56, 56, 3, 3, 64, 64, 1,
IB2c_3, 56, 56, 1, 1, 64, 256, 1,
CB3a_1, 56, 56, 1, 1, 256, 128, 1,
CB3a_2, 56, 56, 3, 3, 128, 128, 2,
CB3a_3, 28, 28, 1, 1, 128, 512, 1,
CB3s, 56, 56, 1, 1, 256, 512, 2,
IB3b_1, 28, 28, 1, 1, 512, 128, 1,
IB3b_2, 28, 28, 3, 3, 128, 128, 1,
IB3b_3, 28, 28, 1, 1, 128, 512, 1,
IB3c_1, 28, 28, 1, 1, 512, 128, 1,
IB3c_2, 28, 28, 3, 3, 128, 128, 1,
IB3c_3, 28, 28, 1, 1, 128, 512, 1,
IB3d_1, 28, 28, 1, 1, 512, 128, 1,
IB3d_2, 28, 28, 3, 3, 128, 128, 1,
IB3d_3, 28, 28, 1, 1, 128, 512, 1,
IB3e_1, 28, 28, 1, 1, 512, 128, 1,
IB3e_2, 28, 28, 3, 3, 128, 128, 1,
IB3e_3, 28, 28, 1, 1, 128, 512, 1,
IB3f_1, 28, 28, 1, 1, 512, 128, 1,
IB3f_2, 28, 28, 3, 3, 128, 128, 1,
IB3f_3, 28, 28, 1, 1, 128, 512, 1,
IB3g_1, 28, 28, 1, 1, 512, 128, 1,
IB3g_2, 28, 28, 3, 3, 128, 128, 1,
IB3g_3, 28, 28, 1, 1, 128, 512, 1,
IB3h_1, 28, 28, 1, 1, 512, 128, 1,
IB3h_2, 28, 28, 3, 3, 128, 128, 1,
IB3h_3, 28, 28, 1, 1, 128, 512, 1,
CB4a_1, 28, 28, 1, 1, 512, 256, 1,
CB4a_2, 28, 28, 3, 3, 256, 256, 2,
CB4a_3, 14, 14, 1, 1, 256, 1024, 1,
CB4s, 28, 28, 1, 1, 512, 1024, 2,
IB4b_1, 14, 14, 1, 1, 1024, 256, 1,
IB4b_2, 14, 14, 3, 3, 256, 256, 1,
IB4b_3, 14, 14, 1, 1, 256, 1024, 1,
IB4c_1, 14, 14, 1, 1, 1024, 256, 1,
IB4c_2, 14, 14, 3, 3, 256, 256, 1,
IB4c_3, 14, 14, 1, 1, 256, 1024, 1,
IB4d_1, 14, 14, 1, 1, 1024, 256, 1,
IB4d_2, 14, 14, 3, 3, 256, 256, 1,
IB4d_3, 14, 14, 1, 1, 256, 1024, 1,
IB4e_1, 14, 14, 1, 1, 1024, 256, 1,
IB4e_2, 14, 14, 3, 3, 256, 256, 1,
IB4e_3, 14, 14, 1, 1, 256, 1024, 1,
IB4f_1, 14, 14, 1, 1, 1024, 256, 1,
IB4f_2, 14, 14, 3, 3, 256, 256, 1,
IB4f_3, 14, 14, 1, 1, 256, 1024, 1,
IB4g_1, 14, 14, 1, 1, 1024, 256, 1,
IB4g_2, 14, 14, 3, 3, 256, 256, 1,
IB4g_3, 14, 14, 1, 1, 256, 1024, 1,
IB4h_1, 14, 14, 1, 1, 1024, 256, 1,
IB4h_2, 14, 14, 3, 3, 256, 256, 1,
IB4h_3, 14, 14, 1, 1, 256, 1024, 1,
IB4i_1, 14, 14, 1, 1, 1024, 256, 1,
IB4i_2, 14, 14, 3, 3, 256, 256, 1,
IB4i_3, 14, 14, 1, 1, 256, 1024, 1,
IB4j_1, 14, 14, 1, 1, 1024, 256, 1,
IB4j_2, 14, 14, 3, 3, 256, 256, 1,
IB4j_3, 14, 14, 1, 1, 256, 1024, 1,
IB4k_1, 14, 14, 1, 1, 1024, 256, 1,
IB4k_2, 14, 14, 3, 3, 256, 256, 1,
IB4k_3, 14, 14, 1, 1, 256, 1024, 1,
IB4l_1, 14, 14, 1, 1, 1024, 256, 1,
IB4l_2, 14, 14, 3, 3, 256, 256, 1,
IB4l_3, 14, 14, 1, 1, 256, 1024, 1,
IB4m_1, 14, 14, 1, 1, 1024, 256, 1,
IB4m_2, 14, 14, 3, 3, 256, 256, 1,
IB4m_3, 14, 14, 1, 1, 256, 1024, 1,
IB4n_1, 14, 14, 1, 1, 1024, 256, 1,
IB4n_2, 14, 14, 3, 3, 256, 256, 1,
IB4n_3, 14, 14, 1, 1, 256, 1024, 1,
IB4o_1, 14, 14, 1, 1, 1024, 256, 1,
IB4o_2, 14, 14, 3, 3, 256, 256, 1,
IB4o_3, 14, 14, 1, 1, 256, 1024, 1,
IB4p_1, 14, 14, 1, 1, 1024, 256, 1,
IB4p_2, 14, 14, 3, 3, 256, 256, 1,
IB4p_3, 14, 14, 1, 1, 256, 1024, 1,
IB4q_1, 14, 14, 1, 1, 1024, 256, 1,
IB4q_2, 14, 14, 3, 3, 256, 256, 1,
IB4q_3, 14, 14, 1, 1, 256, 1024, 1,
IB4r_1, 14, 14, 1, 1, 1024, 256, 1,
IB4r_2, 14, 14, 3, 3, 256, 256, 1,
IB4r_3, 14, 14, 1, 1, 256, 1024, 1,
IB4s_1, 14, 14, 1, 1, 1024, 256, 1,
IB4s_2, 14, 14, 3, 3, 256, 256, 1,
IB4s_3, 14, 14, 1, 1, 256, 1024, 1,
IB4t_1, 14, 14, 1, 1, 1024, 256, 1,
IB4t_2, 14, 14, 3, 3, 256, 256, 1,
IB4t_3, 14, 14, 1, 1, 256, 1024, 1,
IB4u_1, 14, 14, 1, 1, 1024, 256, 1,
IB4u_2, 14, 14, 3, 3, 256, 256, 1,
IB4u_3, 14, 14, 1, 1, 256, 1024, 1,
IB4v_1, 14, 14, 1, 1, 1024, 256, 1,
IB4v_2, 14, 14, 3, 3, 256, 256, 1,
IB4v_3, 14, 14, 1, 1, 256, 1024, 1,
IB4w_1, 14, 14, 1, 1, 1024, 256, 1,
IB4w_2, 14, 14, 3, 3, 256, 256, 1,
IB4w_3, 14, 14, 1, 1, 256, 1024, 1,
IB4x_1, 14, 14, 1, 1, 1024, 256, 1,
IB4x_2, 14, 14, 3, 3, 256, 256, 1,
IB4x_3, 14, 14, 1, 1, 256, 1024, 1,
IB4y_1, 14, 14, 1, 1, 1024, 256, 1,
IB4y_2, 14, 14, 3, 3, 256, 256, 1,
IB4y_3, 14, 14, 1, 1, 256, 1024, 1,
IB4z_1, 14, 14, 1, 1, 1024, 256, 1,
IB4z_2, 14, 14, 3, 3, 256, 256, 1,
IB4z_3, 14, 14, 1, 1, 256, 1024, 1,
IB4aa_1, 14, 14, 1, 1, 1024, 256, 1,
IB4aa_2, 14, 14, 3, 3, 256, 256, 1,
IB4aa_3, 14, 14, 1, 1, 256, 1024, 1,
IB4ab_1, 14, 14, 1, 1, 1024, 256, 1,
IB4ab_2, 14, 14, 3, 3, 256, 256, 1,
IB4ab_3, 14, 14, 1, 1, 256, 1024, 1,
IB4ac_1, 14, 14, 1, 1, 1024, 256, 1,
IB4ac_2, 14, 14, 3, 3, 256, 256, 1,
IB4ac_3, 14, 14, 1, 1, 256, 1024, 1,
IB4ad_1, 14, 14, 1, 1, 1024, 256, 1,
IB4ad_2, 14, 14, 3, 3, 256, 256, 1,
IB4ad_3, 14, 14, 1, 1, 256, 1024, 1,
IB4ae_1, 14, 14, 1, 1, 1024, 256, 1,
IB4ae_2, 14, 14, 3, 3, 256, 256, 1,
IB4ae_3, 14, 14, 1, 1, 256, 1024, 1,
IB4af_1, 14, 14, 1, 1, 1024, 256, 1,
IB4af_2, 14, 14, 3, 3, 256, 256, 1,
IB4af_3, 14, 14, 1, 1, 256, 1024, 1,
IB4ag_1, 14, 14, 1, 1, 1024, 256, 1,
IB4ag_2, 14, 14, 3, 3, 256, 256, 1,
IB4ag_3, 14, 14, 1, 1, 256, 1024, 1,
IB4ah_1, 14, 14, 1, 1, 1024, 256, 1,
IB4ah_2, 14, 14, 3, 3, 256, 256, 1,
IB4ah_3, 14, 14, 1, 1, 256, 1024, 1,
IB4ai_1, 14, 14, 1, 1, 1024, 256, 1,
IB4ai_2, 14, 14, 3, 3, 256, 256, 1,
IB4ai_3, 14, 14, 1, 1, 256, 1024, 1,
IB4aj_1, 14, 14, 1, 1, 1024, 256, 1,
IB4aj_2, 14, 14, 3, 3, 256, 256, 1,
IB4aj_3, 14, 14, 1, 1, 256, 1024, 1,
CB5a_1, 14, 14, 1, 1, 1024, 512, 1,
CB5a_2, 14, 14, 3, 3, 512, 512, 2,
CB5a_3, 7, 7, 1, 1, 512, 2048, 1,
CB5s, 14, 14, 1, 1, 1024, 2048, 2,
IB5b_1, 7, 7, 1, 1, 2048, 512, 1,
IB5b_2, 7, 7, 3, 3, 512, 512, 1,
IB5b_3, 7, 7, 1, 1, 512, 2048, 1,
IB5c_1, 7, 7, 1, 1, 2048, 512, 1,
IB5c_2, 7, 7, 3, 3, 512, 512, 1,
IB5c_3, 7, 7, 1, 1, 512, 2048, 1,
FC6, 1, 1, 1, 1, 2048, 1000, 1,
